Id,metric_alias_widget_1294_0
StatusCode,Complete
Messages,
Full label,us-east-1:AWS/ApplicationELB LoadBalancer:app/fargate-benchmark-alb-ov2/953c5a73b6a075c1 TargetResponseTime Average 3600
Label,TargetResponseTime
2025/07/08 21:30:00,0.0021855
2025/07/08 22:30:00,0.0021292459016393444
2025/07/08 23:30:00,
2025/07/09 00:30:00,
2025/07/09 01:30:00,0.001617
2025/07/09 02:30:00,
2025/07/09 03:30:00,0.00172
2025/07/09 04:30:00,0.003364
2025/07/09 05:30:00,0.0015982499999999998
2025/07/09 06:30:00,0.002043
2025/07/09 07:30:00,
2025/07/09 08:30:00,0.001924
2025/07/09 09:30:00,
2025/07/09 10:30:00,
2025/07/09 11:30:00,
2025/07/09 12:30:00,
2025/07/09 13:30:00,
2025/07/09 14:30:00,
2025/07/09 15:30:00,
2025/07/09 16:30:00,0.001675
2025/07/09 17:30:00,
2025/07/09 18:30:00,0.002713
2025/07/09 19:30:00,
2025/07/09 20:30:00,
2025/07/09 21:30:00,
2025/07/09 22:30:00,0.0017345
2025/07/09 23:30:00,0.00159
2025/07/10 00:30:00,
2025/07/10 01:30:00,
2025/07/10 02:30:00,
2025/07/10 03:30:00,
2025/07/10 04:30:00,
2025/07/10 05:30:00,
2025/07/10 06:30:00,
2025/07/10 07:30:00,0.0022335
2025/07/10 08:30:00,
2025/07/10 09:30:00,
2025/07/10 10:30:00,
2025/07/10 11:30:00,
2025/07/10 12:30:00,
2025/07/10 13:30:00,
2025/07/10 14:30:00,0.0018205
2025/07/10 15:30:00,
2025/07/10 16:30:00,
2025/07/10 17:30:00,0.003693
2025/07/10 18:30:00,
2025/07/10 19:30:00,
2025/07/10 20:30:00,
2025/07/10 21:30:00,
2025/07/10 22:30:00,0.0018161666666666665
2025/07/10 23:30:00,0.002278
2025/07/11 00:30:00,
2025/07/11 01:30:00,
2025/07/11 02:30:00,
2025/07/11 03:30:00,
2025/07/11 04:30:00,
2025/07/11 05:30:00,0.001911
2025/07/11 06:30:00,0.001755
2025/07/11 07:30:00,0.002093
2025/07/11 08:30:00,0.001642
2025/07/11 09:30:00,
2025/07/11 10:30:00,0.001858
2025/07/11 11:30:00,
2025/07/11 12:30:00,0.001795
2025/07/11 13:30:00,0.001929
2025/07/11 14:30:00,
2025/07/11 15:30:00,0.0018841999999999997
2025/07/11 16:30:00,0.0017315
2025/07/11 17:30:00,
2025/07/11 18:30:00,0.001905
2025/07/11 19:30:00,
2025/07/11 20:30:00,0.00155
2025/07/11 21:30:00,0.002101
2025/07/11 22:30:00,
2025/07/11 23:30:00,
2025/07/12 00:30:00,
2025/07/12 01:30:00,
2025/07/12 02:30:00,0.002078
2025/07/12 03:30:00,
2025/07/12 04:30:00,
2025/07/12 05:30:00,0.00162625
2025/07/12 06:30:00,
2025/07/12 07:30:00,
2025/07/12 08:30:00,
2025/07/12 09:30:00,
2025/07/12 10:30:00,0.002166
2025/07/12 11:30:00,
2025/07/12 12:30:00,
2025/07/12 13:30:00,
2025/07/12 14:30:00,
2025/07/12 15:30:00,
2025/07/12 16:30:00,
2025/07/12 17:30:00,
2025/07/12 18:30:00,
2025/07/12 19:30:00,
2025/07/12 20:30:00,
2025/07/12 21:30:00,
2025/07/12 22:30:00,
2025/07/12 23:30:00,0.0017382
2025/07/13 00:30:00,
2025/07/13 01:30:00,
2025/07/13 02:30:00,
2025/07/13 03:30:00,
2025/07/13 04:30:00,
2025/07/13 05:30:00,0.001537
2025/07/13 06:30:00,
2025/07/13 07:30:00,
2025/07/13 08:30:00,0.002226
2025/07/13 09:30:00,
2025/07/13 10:30:00,
2025/07/13 11:30:00,0.0016770000000000003
2025/07/13 12:30:00,
2025/07/13 13:30:00,
2025/07/13 14:30:00,
2025/07/13 15:30:00,
2025/07/13 16:30:00,
2025/07/13 17:30:00,0.002045
2025/07/13 18:30:00,
2025/07/13 19:30:00,0.0016875
2025/07/13 20:30:00,0.001932207920792079
2025/07/13 21:30:00,0.0022045
2025/07/13 22:30:00,0.0019142324840764338
2025/07/13 23:30:00,
2025/07/14 00:30:00,0.001767
2025/07/14 01:30:00,0.0022763333333333333
2025/07/14 02:30:00,0.00152
2025/07/14 03:30:00,
2025/07/14 04:30:00,0.0019122222222222223
2025/07/14 05:30:00,
2025/07/14 06:30:00,
2025/07/14 07:30:00,
2025/07/14 08:30:00,0.0034577999999999996
2025/07/14 09:30:00,0.003013
2025/07/14 10:30:00,0.001535
2025/07/14 11:30:00,0.001662
